interv_measure,scene,object_value,min_coverage,year
24,2,1500,0.213761835,1
24,2,2000,0.166682515,1
24,2,2500,0.137296626,1
24,3,500,,1
24,3,1000,,1
24,3,1500,0.353641495,1
24,3,2000,0.26043471,1
24,3,2500,0.223196629,1
24,4,500,,1
24,4,1000,,1
24,4,1500,,1
24,4,2000,0.307791566,1
24,4,2500,0.259379098,1
24,5,500,,1
24,5,1000,,1
24,5,1500,,1
24,5,2000,,1
24,5,2500,,1
24,6,500,,1
24,6,1000,,1
24,6,1500,,1
24,6,2000,,1
24,6,2500,,1
24,1,500,0.18511436,3
24,1,1000,0.106224429,3
24,1,1500,0.061092937,3
24,1,2000,0,3
24,1,2500,0,3
24,2,500,,3
24,2,1000,0.200350534,3
24,2,1500,0.142415599,3
24,2,2000,0.113373578,3
24,2,2500,0.090903647,3
24,3,500,,3
24,3,1000,,3
24,3,1500,0.238784038,3
24,3,2000,0.181457027,3
24,3,2500,0.153244771,3
24,4,500,,3
24,4,1000,,3
24,4,1500,0.370746231,3
24,4,2000,0.211370999,3
24,4,2500,0.173622918,3
24,5,500,,3
24,5,1000,,3
24,5,1500,,3
24,5,2000,,3
24,5,2500,0.298263464,3
24,6,500,,3
24,6,1000,,3
24,6,1500,,3
24,6,2000,,3
24,6,2500,,3
24,1,500,0.17199756,5
24,1,1000,0.0927423,5
24,1,1500,0.052331137,5
24,1,2000,0,5
24,1,2500,0,5
24,2,500,,5
24,2,1000,0.182140589,5
24,2,1500,0.130416367,5
24,2,2000,0.10159262,5
24,2,2500,0.078484792,5
24,3,500,,5
24,3,1000,,5
24,3,1500,0.225596138,5
24,3,2000,0.168909493,5
24,3,2500,0.138608503,5
24,4,500,,5
24,4,1000,,5
24,4,1500,0.309259713,5
24,4,2000,0.199655888,5
24,4,2500,0.162131248,5
24,5,500,,5
24,5,1000,,5
24,5,1500,,5
24,5,2000,,5
24,5,2500,0.271113498,5
24,6,500,,5
24,6,1000,,5
24,6,1500,,5
24,6,2000,,5
24,6,2500,,5
34,1,500,,1
34,1,1000,,1
34,1,1500,,1
34,1,2000,0,1
34,1,2500,0,1
34,2,500,,1
